,index,Latitude_Degrees,Longitude_Degrees,Percent_Bleached_Sum,day,month,year,lat_Rnd,lon_Rnd
0,0,24.36692592,124.0033722,75.0,8,9,2016,24.5,124.5
1,1,24.45480663,124.1098022,75.0,2,9,2016,24.5,124.5
2,2,24.46340071,123.8021851,32.85,5,8,2008,24.5,123.5
3,3,24.48261807,124.1254234,75.0,2,9,2016,24.5,124.5
4,4,24.48371165,124.1231918,75.0,1,10,2016,24.5,124.5
5,5,24.48455417,124.1240642,4.0,28,4,2009,24.5,124.5
6,6,24.52822802,124.2524529,4.0,14,5,2008,24.5,124.5
7,7,24.76678452,125.2441406,32.85,23,7,2007,24.5,125.5
8,8,26.2453014,127.6679671,32.85,16,9,2009,26.5,127.5
9,9,26.24621556,127.6679134,32.85,16,9,2009,26.5,127.5
10,10,26.2478899,127.6679349,32.85,16,9,2009,26.5,127.5
11,11,26.25089211,127.6683426,4.0,16,9,2009,26.5,127.5
12,12,26.440547,127.777154,32.85,21,8,2013,26.5,127.5
13,13,26.44361111,127.7727778,32.85,11,7,2008,26.5,127.5
14,14,26.44424528,127.7726591,32.85,16,8,2009,26.5,127.5
15,15,26.50744671,127.8846359,4.0,21,6,2007,26.5,127.5
16,16,26.53263692,128.0747509,32.85,11,9,2016,26.5,128.5
17,17,30.45762645,130.4899406,32.85,4,11,2008,30.5,130.5
18,18,30.45770737,130.488786,75.0,24,8,2016,30.5,130.5
19,19,30.45781141,130.4893827,32.85,12,7,2008,30.5,130.5
20,20,30.45794089,130.4889429,75.0,22,8,2013,30.5,130.5
21,21,30.45810505,130.4888932,75.0,24,8,2016,30.5,130.5
22,22,30.45811661,130.4889295,75.0,19,8,2016,30.5,130.5
23,23,30.4581351,130.4889375,4.0,6,8,2016,30.5,130.5
24,24,32.76881853,132.638948,4.0,25,10,2008,32.5,132.5
25,25,32.7688907,132.6389265,32.85,28,8,2008,32.5,132.5
26,26,32.77352761,132.627039,32.85,29,8,2008,32.5,132.5
27,27,32.77356369,132.6266098,32.85,20,9,2010,32.5,132.5
28,28,32.77363586,132.6272106,32.85,25,10,2008,32.5,132.5
29,29,33.45321401,135.7498169,4.0,26,10,2008,33.5,135.5
30,30,33.45629326,135.7611465,4.0,25,10,2008,33.5,135.5
31,31,33.457081,135.760911,32.85,15,10,2007,33.5,135.5
32,32,33.481093,135.746373,4.0,15,9,2008,33.5,135.5
33,33,33.48214029,135.6952286,32.85,25,10,2008,33.5,135.5
34,34,33.48345496,135.6931794,4.0,3,7,2010,33.5,135.5
35,35,33.48348181,135.6932116,4.0,4,7,2010,33.5,135.5
36,36,33.49138357,135.6680739,32.85,5,9,2008,33.5,135.5
37,37,33.52106633,133.7537169,32.85,12,5,2011,33.5,133.5
38,38,33.52124522,133.7535775,32.85,11,9,2010,33.5,133.5
39,39,33.69006708,135.3314781,32.85,8,10,2010,33.5,135.5
40,40,33.6906027,135.3360057,32.85,28,8,2013,33.5,135.5
41,41,34.8218627,139.0778482,4.0,6,7,2008,34.5,139.5
42,42,34.82192435,139.077749,4.0,6,7,2008,34.5,139.5
43,43,34.82218858,139.0784597,4.0,6,7,2008,34.5,139.5
44,44,24.36609715,124.0002823,75.0,10,9,2016,24.5,124.5
45,45,24.43976611,124.0759256,32.85,28,4,2009,24.5,124.5
46,46,24.74811744,125.4427314,32.85,13,7,2009,24.5,125.5
47,47,26.3550359,127.1426725,32.85,22,9,2016,26.5,127.5
48,48,26.63211487,142.1668625,32.85,30,6,2007,26.5,142.5
49,49,30.40708062,130.433979,75.0,6,8,2008,30.5,130.5
50,50,30.77989336,130.2850628,32.85,5,11,2008,30.5,130.5
51,51,30.77989336,130.2850628,32.85,5,11,2008,30.5,130.5
52,52,34.33556936,139.2076778,4.0,8,8,2008,34.5,139.5
53,53,30.45666462,130.4981804,75.0,8,8,2008,30.5,130.5
54,54,26.23282381,127.3109436,75.0,8,9,2016,26.5,127.5
55,55,28.07292696,129.331516,32.85,15,8,2016,28.5,129.5
56,56,34.66012822,138.7877941,4.0,27,8,2008,34.5,138.5
57,57,34.66025177,138.7883949,32.85,8,8,2009,34.5,138.5
58,58,24.81358943,125.1446857,75.0,30,8,2016,24.5,125.5
59,59,24.8136425,125.1441801,32.85,16,8,2016,24.5,125.5
60,60,24.86141632,125.2838373,75.0,11,8,2013,24.5,125.5
61,61,24.93700156,125.2333447,75.0,13,6,2015,24.5,125.5
62,62,26.215765,127.646563,4.0,29,8,2009,26.5,127.5
63,63,26.3268836,127.7442169,32.85,1,5,2010,26.5,127.5
64,64,26.32688895,127.7450234,32.85,16,8,2016,26.5,127.5
65,65,26.32690764,127.7442947,75.0,14,8,2013,26.5,127.5
66,66,26.32708434,127.7448224,32.85,14,8,2013,26.5,127.5
67,67,26.32709035,127.7438816,75.0,20,8,2013,26.5,127.5
68,68,26.3323848,127.7423152,75.0,15,8,2013,26.5,127.5
69,69,26.33264538,127.7416044,75.0,21,8,2013,26.5,127.5
70,70,26.33264538,127.7416044,75.0,21,8,2013,26.5,127.5
71,71,26.36203445,127.7372485,75.0,18,8,2013,26.5,127.5
72,72,26.49561289,127.8388962,32.85,31,7,2016,26.5,127.5
73,73,26.55298473,127.9686642,4.0,25,10,2008,26.5,127.5
74,74,26.55322946,127.9695788,75.0,24,8,2013,26.5,127.5
75,75,26.71460206,128.0223942,32.85,15,7,2016,26.5,128.5
76,76,26.71460206,128.0223942,32.85,15,7,2016,26.5,128.5
77,77,26.71471946,128.0143744,32.85,1,10,2016,26.5,128.5
78,78,26.71550291,128.0182958,75.0,12,9,2016,26.5,128.5
79,79,26.84743702,128.2879584,32.85,8,9,2013,26.5,128.5
80,80,30.454542,130.498835,32.85,4,11,2008,30.5,130.5
81,81,32.77792072,132.7321172,75.0,10,9,2010,32.5,132.5
82,82,32.77836516,132.7325451,32.85,23,9,2016,32.5,132.5
83,83,32.7787506,132.7325919,32.85,1,9,2016,32.5,132.5
84,84,24.23115525,123.9934587,32.85,30,8,2016,24.5,123.5
85,85,24.235372,123.985949,4.0,30,3,2010,24.5,123.5
86,86,24.30939992,124.1032791,75.0,20,9,2016,24.5,124.5
87,87,24.30979102,124.1065407,32.85,30,8,2016,24.5,124.5
88,88,24.31237227,124.1044807,32.85,9,10,2016,24.5,124.5
89,89,24.31252871,124.1029358,75.0,2,10,2016,24.5,124.5
90,90,24.34711111,124.0825,4.0,19,8,2008,24.5,124.5
91,91,24.34776131,123.7370932,4.0,31,8,2008,24.5,123.5
92,92,24.34797244,124.0921555,75.0,15,7,2016,24.5,124.5
93,93,24.35818,124.08433,4.0,31,5,2009,24.5,124.5
94,94,24.36373593,124.0413094,75.0,8,9,2016,24.5,124.5
95,95,24.36615189,124.2519894,75.0,22,8,2016,24.5,124.5
